         MJD           Ac           As           X0           Y0           dX           dY
 48126.00000    -162.5716      30.5932      54.6613     -61.5038     -90.4749      17.8749 
 48127.00000    -163.5777      29.9134      55.7949     -61.0347     -89.3377      20.1378 
 48128.00000    -164.2874      29.0238      56.7244     -60.3215     -88.1746      22.3647 
 48129.00000    -164.6680      28.2118      57.3277     -59.6671     -86.9890      24.5004 
 48130.00000    -164.9688      27.7555      57.7576     -59.4308     -85.7602      26.5211 
 48131.00000    -165.3774      27.4756      58.2958     -59.5051     -84.4349      28.4298 
 48132.00000    -165.7487      26.4930      59.2656     -59.0110     -82.8911      30.2411 
 48133.00000    -165.9635      25.3118      60.2494     -58.2569     -81.2627      32.0698 
 48134.00000    -166.1032      24.8661      60.7481     -58.0337     -79.7423      34.0045 
 48135.00000    -166.3441      24.9280      60.9908     -58.2773     -78.3304      35.9636 
 48136.00000    -166.5360      24.9822      61.1389     -58.4946     -76.9383      37.9059 
 48137.00000    -166.5949      24.8367      61.2917     -58.3991     -75.4812      39.9061 
 48138.00000    -166.6370      24.6164      61.5241     -58.0909     -73.9386      42.0277 
 48139.00000    -166.6248      24.4979      61.6771     -57.7830     -72.3548      44.1946 
 48140.00000    -166.5112      24.6298      61.5265     -57.8048     -70.8370      46.1784 
 48141.00000    -166.9057      24.4769      61.9542     -57.8759     -69.2933      48.0993 
 48142.00000    -167.5839      23.9399      62.8755     -57.7137     -67.6682      50.0631 
 48143.00000    -167.8890      23.4846      63.4275     -57.4309     -66.0284      52.0196 
 48144.00000    -167.4485      23.4837      63.0433     -57.1673     -64.4311      53.9218 
 48145.00000    -166.4266      23.7504      61.9861     -56.8131     -62.8546      55.7776 
 48146.00000    -165.1189      23.9752      60.7151     -56.2295     -61.2647      57.6125 
 48147.00000    -163.6959      24.0326      59.4588     -55.3936     -59.6541      59.4368 
 48148.00000    -162.2946      23.8791      58.3575     -54.3493     -58.0287      61.2535 
 48149.00000    -161.0543      23.5059      57.5236     -53.1809     -56.4001      63.0620 
 48150.00000    -160.2401      22.9168      57.1398     -52.0595     -54.7961      64.8696 
 48151.00000    -159.9852      22.1116      57.2982     -51.0816     -53.2253      66.6840 
 48152.00000    -160.1444      21.0721      57.9232     -50.1643     -51.6552      68.5068 
 48153.00000    -160.4963      19.8458      58.8465     -49.2326     -50.0519      70.3252 
 48154.00000    -160.8332      18.5678      59.8462     -48.2913     -48.3922      72.1102 
 48155.00000    -160.6858      17.6539      60.2840     -47.4455     -46.6896      73.7496 
 48156.00000    -160.2040      17.2936      60.1518     -46.9152     -44.9343      75.2375 
 48157.00000    -160.4809      17.2221      60.4876     -47.0510     -43.0514      76.7651 
 48158.00000    -161.4740      17.1370      61.4018     -47.5790     -41.0816      78.3762 
 48159.00000    -162.1424      16.9337      62.0836     -47.8312     -39.1611      79.9437 
